PID,isMale,rightHanded,taskType,width,length,rotation,execType,trialRep,totalTime,errorTime,errorNumber,isValid
17,False,False,True,0.02,0.25,Rot16,2,0,46316.2759,42519.4353,6,False

17,False,False,True,0.02,0.25,Rot16,2,0,365.5753,146.6124,2,True

17,False,False,True,0.02,0.25,Rot9,2,0,4117.8435,1171.9748,2,False

17,False,False,True,0.02,0.25,Rot9,2,0,26131.8373,583.4463,2,True

17,False,False,True,0.02,0.25,Rot12,2,0,11837.8847,9239.6568,3,False

17,False,False,True,0.02,0.25,Rot12,2,0,39872.5224,1890.7071,2,False

17,False,False,True,0.02,0.25,Rot12,2,0,1.674,0,0,False

17,False,False,True,0.02,0.25,Rot12,2,0,0.5574,0,0,False

17,False,False,True,0.02,0.25,Rot12,2,0,14267.0357,27.1991,1,True

17,False,False,True,0.02,0.25,Rot13,2,0,10987.5447,1137.2342,3,False

17,False,False,True,0.02,0.25,Rot13,2,0,29225.6855,28943.7253,1,True

17,False,False,True,0.02,0.25,Rot14,2,0,41014.4342,39521.5066,3,False

17,False,False,True,0.02,0.25,Rot14,2,0,1515.1168,93.9829,1,True

17,False,False,True,0.02,0.25,Rot1,2,0,30143.0608,28789.5951,3,False

17,False,False,True,0.02,0.25,Rot1,2,0,1209.0507,92.6622,1,True

17,False,False,True,0.02,0.25,Rot6,2,0,495.194,135.4998,1,False

17,False,False,True,0.02,0.25,Rot6,2,0,45552.5871,30535.8999,8,True

17,False,False,True,0.02,0.25,Rot11,2,0,17802.4872,17063.7787,2,False

17,False,False,True,0.02,0.25,Rot11,2,0,17582.6072,16419.4137,1,True

17,False,False,True,0.02,0.25,Rot10,2,0,61114.4528,58517.4172,4,False

17,False,False,True,0.02,0.25,Rot10,2,0,893.4586,417.3235,1,True

17,False,False,True,0.02,0.25,Rot8,2,0,1276.4437,849.0192,1,False

17,False,False,True,0.02,0.25,Rot8,2,0,29166.8976,28347.8849,3,True

17,False,False,True,0.02,0.25,Rot7,2,0,19195.1743,17454.4162,2,False

17,False,False,True,0.02,0.25,Rot7,2,0,16105.1352,15590.5058,1,True

17,False,False,True,0.02,0.25,Rot17,2,0,44011.3791,41772.6863,3,True

17,False,False,True,0.02,0.25,Rot3,2,0,9357.4168,8942.4752,2,False

17,False,False,True,0.02,0.25,Rot3,2,0,12676.0175,12223.6046,2,True

17,False,False,True,0.02,0.25,Rot0,2,0,66512.404,57987.6142,4,True

17,False,False,True,0.02,0.25,Rot15,2,0,44096.5038,40855.9169,4,False

17,False,False,True,0.02,0.25,Rot15,2,0,1041.6296,0,0,True

17,False,False,True,0.02,0.25,Rot4,2,0,25981.1344,25090.5866,2,False

17,False,False,True,0.02,0.25,Rot4,2,0,735.0518,342.3485,3,False

17,False,False,True,0.02,0.25,Rot4,2,0,902.4017,193.5089,1,True

17,False,False,True,0.02,0.25,Rot5,2,0,16370.3946,15275.6031,4,True

17,False,False,True,0.02,0.25,Rot2,2,0,52.6706,0,0,False

17,False,False,True,0.02,0.25,Rot2,2,0,13524.7545,13388.1273,1,False

17,False,False,True,0.02,0.25,Rot2,2,0,13976.674,10354.7017,4,True

