x,y,z
-0.1326401,-11.13382,0.19604
-0.1347504,-5.380789,0.1987717
-0.1365885,-2.254088,0.200734
-0.1371994,-0.2520283,0.2025497
-0.1386512,3.726515,0.205658
-0.1399785,5.61638,0.2068742
-0.140589,11.05622,0.2089408
-0.1404805,14.27054,0.2098202
-0.1399681,22.10169,0.2102124
-0.1404706,25.42142,0.2104926
-0.1372266,33.48639,0.209254
-0.1396326,38.0194,0.2087081
-0.1414827,41.90659,0.2081706
-0.148145,49.68497,0.2070107
-0.1518066,53.36874,0.2063087
-0.1633633,62.16383,0.2064309
-0.1672528,66.04759,0.2061903
-0.1769336,70.09924,0.2066812
-0.176328,72.82247,0.2070048
-0.1760704,79.49285,0.2078039
-0.1762767,83.07899,0.2082578
-0.1770653,86.59746,0.2084875
-0.1803974,92.84599,0.2114823
-0.181186,94.94663,0.2124842
-0.1834064,99.66016,0.21392
-0.1876521,99.91637,0.2146089
-0.1968653,98.89222,0.2175193
-0.1960204,97.31483,0.2177004
-0.2031733,94.80286,0.2201027
-0.2149447,91.43814,0.2239145
-0.2183164,92.96442,0.223715
-0.2241012,95.39564,0.2237458
-0.2253019,97.20958,0.2228633
-0.228581,100.5212,0.2215138
-0.2306086,102.2062,0.2209015
-0.2307037,104.2206,0.2196175
-0.229028,104.4,0.2187379
-0.2277633,104.6333,0.2179662
-0.223924,105.1542,0.2161647
-0.2222012,105.5005,0.2152393
-0.2171001,106.634,0.2127157
-0.2146754,106.8313,0.211952
-0.2104677,107.5618,0.2102045
-0.2071932,108.4186,0.2078916
-0.2015639,110.1407,0.2034236
-0.1986405,110.4854,0.2009959
-0.1932912,110.2963,0.1988977
-0.1826521,110.7305,0.1938742
-0.1775087,111.2226,0.1910537
-0.1672652,112.1805,0.1855769
-0.1621589,112.6573,0.1828748
-0.1533766,114.5732,0.1765936
-0.1472996,117.3131,0.1706857
-0.1415331,119.6571,0.1651845
-0.1317336,124.134,0.152122
-0.1273512,126.2019,0.1448996
-0.1195267,133.087,0.1276434
-0.1155957,135.5302,0.1203934
-0.06859718,-5.84164,0.08009505
-0.06425873,-6.681561,0.07481548
-0.1105293,147.0211,0.07633795
-0.1084405,148.3933,0.06747996
-0.1061174,149.8568,0.05899647
-0.09734251,151.3828,0.04456332
-0.0880404,150.3297,0.038509
-0.07260564,149.545,0.02574778
-0.06277443,146.5154,0.01898523
-0.04258407,143.2862,0.002537997
-0.0330442,142.4885,-0.006309533
-0.02477411,141.9228,-0.01477031
-0.01174037,142.0468,-0.03134698
-0.008277075,144.0514,-0.04035973
0.005534494,150.6195,-0.06341998
0.01314482,153.703,-0.07471082
0.02949538,157.3019,-0.0950857
0.03618247,12.04087,-0.03421207
0.04314058,12.77349,-0.04474425
0.04711562,13.13213,-0.05064958
0.04870228,11.59618,-0.05458558
0.05430259,8.093,-0.0635063
0.05769191,6.64049,-0.06829557
0.0603194,3.416922,-0.07587945
0.06336121,2.583454,-0.08095237
0.0726795,-0.2484752,-0.09769638
0.08131207,0.4993362,-0.1076925
0.09338161,0.2834813,-0.1248353
0.09877689,1.741563,-0.1316847
0.1028361,2.131267,-0.1378522
0.1075113,2.916087,-0.145029
0.1097711,2.930611,-0.1485934
0.1137431,2.916087,-0.1552616
0.1159284,3.312137,-0.1583256
0.1204719,4.035333,-0.1629255
0.1229387,4.351658,-0.1646569
0.1255073,4.574894,-0.1666857
0.1281112,5.298352,-0.1673428
0.1292327,5.075772,-0.1669648
0.1342363,4.956066,-0.1692619
0.1369333,4.52131,-0.1710982
0.1406801,3.409657,-0.1746081
0.1419143,2.828604,-0.1762813
0.1430931,2.458648,-0.1802076
0.1439409,2.311869,-0.1821689
0.1443911,2.038551,-0.1835055
0.1444358,1.358065,-0.1854343
0.144167,0.9920695,-0.1860527
0.1441046,0.7618698,-0.1870883
0.1443132,0.7689131,-0.1875659
0.1439655,0.7562703,-0.1871929
0.144066,0.5225936,-0.1872809
0.1441408,0.1521309,-0.187176
0.1425003,-0.1761814,-0.185626
0.1408547,-0.4531045,-0.1839988
0.1362369,-0.5061494,-0.1769939
0.1341342,-0.5677739,-0.1737041
0.1246691,-0.3027551,-0.1609302
0.1193063,0.1087288,-0.1497612
0.1070023,1.263892,-0.1262633
0.1005967,1.919114,-0.1147166
0.09501021,2.459615,-0.1048707
0.07606307,3.111248,-0.08030394
0.06424055,2.936664,-0.06765358
0.04524767,2.85735,-0.04677747
0.0336059,3.769243,-0.03249425
0.008701177,5.669911,-0.004912636
-0.00395345,6.617234,0.008201769
-0.01537271,7.429122,0.01993864
0.01452245,7.121639,-0.007136926
0.01238142,5.968424,-0.004215902
0.005875168,2.829746,0.002761994
0.001687062,1.015739,0.006666498
-0.00841723,-0.9759974,0.01634435
-0.0141147,-1.543369,0.02192601
-0.01654995,-1.72957,0.03414523
-0.01963265,-1.951765,0.04077322
-0.06226184,-11.1097,0.02201349
-0.06391093,-9.727863,0.03013961
-0.06570882,-8.38522,0.03779905
-0.07103214,-6.597999,0.04782514
-0.07411598,-6.186215,0.05337963
-0.07785698,-5.507613,0.06648798
-0.08093549,-4.913838,0.07551446
-0.08755643,-3.864141,0.09277146
-0.09303527,-3.326608,0.1014454
-0.09836754,-2.803342,0.1098197
-0.1124437,-0.9937053,0.1278964
-0.1186973,-0.3028578,0.136472
-0.1398631,1.256068,0.1493809
-0.1498528,2.184891,0.1534843
-0.1707072,3.6298,0.1610292
-0.1808999,4.228959,0.1644566
-0.1975288,4.977908,0.1723554
-0.2052802,5.261576,0.1767632
-0.2114406,5.240469,0.1795769
-0.2249441,5.543433,0.1863247
-0.2297945,5.099664,0.1894562
-0.2387756,4.366583,0.1953938
-0.2431725,4.066315,0.198241
-0.2152599,3.721647,0.2425247
-0.2213511,3.63679,0.2452516
-0.2248817,4.358331,0.2475319
-0.2228211,4.786796,0.2472795
-0.2220475,5.121946,0.2473456
-0.2188071,5.353225,0.2469668
-0.2165898,5.332767,0.246507
-0.2451022,1.133627,0.2053322
-0.2412622,1.144482,0.2046748
-0.2283221,1.723263,0.2002499
-0.2205933,2.181848,0.1959769
-0.2136571,2.541952,0.1917615
-0.1969595,3.459642,0.1809498
-0.1902993,3.804369,0.1764883
-0.1757032,4.544205,0.1655084
-0.1669029,4.411366,0.1576993
-0.1519366,4.396445,0.1447212
-0.1429145,2.923064,0.13473
-0.1240903,-0.5331535,0.1137615
-0.1149463,-2.260822,0.1033827
-0.1032267,-5.089691,0.09156443
-0.08492418,-8.762922,0.07264832
-0.06993183,-10.92544,0.06111621
-0.04893647,-12.60118,0.03868992
-0.04034926,-13.07026,0.0280099
-0.02290871,-12.94968,0.006989497
-0.01382398,-12.77411,-0.003426298
0.01731007,167.3238,-0.0101408
0.01967888,167.5444,-0.01764212
0.0242496,167.8692,-0.02596452
0.03883208,169.5077,-0.04586658
0.02177113,9.073016,0.006416611
0.03898519,14.23331,-0.01148352
0.04615878,15.65415,-0.01954996
0.05900207,17.34912,-0.03630682
0.06555487,16.88114,-0.04385269
0.07157886,16.76691,-0.05160648
0.08077857,14.56007,-0.06430398
0.08430263,13.71032,-0.06849149
0.09267929,12.65369,-0.07915352
0.09510086,11.84005,-0.0836215
0.102787,10.8407,-0.0921765
0.1068172,10.47393,-0.09709691
0.1149812,9.810453,-0.1081885
0.1159192,9.759029,-0.1115423
0.1173028,9.666597,-0.1152721
0.1190024,9.39521,-0.1204458
0.1196255,9.252094,-0.1220403
0.1211656,9.222446,-0.1235969
0.1223332,9.175275,-0.1248319
0.1242999,9.364908,-0.1260071
0.1256272,9.41041,-0.126953
0.1287138,9.124022,-0.1291553
0.1307942,8.91494,-0.1306598
0.1329648,8.716913,-0.1323164
0.1360433,8.161524,-0.1355913
0.1377368,7.919868,-0.1374291
0.1424796,7.308461,-0.1436508
0.1448046,7.435268,-0.1473917
0.1499484,7.528152,-0.1552031
0.1523066,7.874249,-0.1593952
0.1542415,8.213155,-0.1640169
0.1576782,8.837461,-0.1720217
0.1596649,8.865574,-0.1771165
0.1638834,8.686846,-0.1872714
0.1660898,8.525873,-0.192289
0.1707669,8.330841,-0.2010002
0.1730645,8.269809,-0.2048146
0.1766632,8.170339,-0.2104333
0.1781747,8.092488,-0.2129153
0.1798708,8.021294,-0.2154566
0.1821242,7.851649,-0.2202217
0.1825359,7.761054,-0.2224909
0.1827211,7.417926,-0.2269537
0.1826666,7.282462,-0.2292431
0.1812419,7.173034,-0.2318414
0.1802502,7.015353,-0.2318064
0.1795031,6.867315,-0.2319835
0.1775821,6.517953,-0.2314153
0.1764086,6.329364,-0.2307208
0.175209,5.89917,-0.2301372
0.1745157,5.658288,-0.2296827
0.1732443,5.216019,-0.2289658
0.171958,5.205641,-0.2276078
0.1686077,5.331264,-0.2233287
0.166576,5.455328,-0.220405
0.1646008,5.56202,-0.2175693
0.1568305,6.331364,-0.2060203
0.1513861,6.859504,-0.1972378
0.1365984,7.939722,-0.1742479
0.1280488,8.47209,-0.1613548
0.1088902,9.523881,-0.1361658
0.0988499,10.04061,-0.1240294
0.08114412,11.314,-0.0993593
0.07355129,11.84906,-0.0891266
0.06586713,13.0776,-0.07652564
