PID,PathType,Width,Length,Depth,Width_P,Length_P,Rotation,Rep,PointIndex,BoardX,BoardY,BoardZ,WorldX,WorldY,WorldZ
23,3,2,25,4,0.1396,1.773552,RL,0,0,-0.8184911,-1.615343,-0.985908,0.8184911,1.384657,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,1,-0.8057686,-1.625704,-0.985908,0.8057686,1.374296,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,2,-0.7930871,-1.63139,-0.985908,0.7930871,1.36861,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,3,-0.7834496,-1.637544,-0.985908,0.7834496,1.362456,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,4,-0.7744242,-1.643015,-0.985908,0.7744242,1.356985,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,5,-0.7660162,-1.649235,-0.985908,0.7660162,1.350765,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,6,-0.7530808,-1.658517,-0.985908,0.7530808,1.341483,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,7,-0.7397853,-1.662514,-0.985908,0.7397853,1.337486,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,8,-0.7207605,-1.673008,-0.985908,0.7207605,1.326992,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,9,-0.7036822,-1.684273,-0.985908,0.7036822,1.315727,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,10,-0.6800145,-1.692882,-0.985908,0.6800145,1.307118,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,11,-0.6712853,-1.698884,-0.985908,0.6712853,1.301116,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,12,-0.6627226,-1.705098,-0.985908,0.6627226,1.294902,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,13,-0.6544739,-1.712433,-0.985908,0.6544739,1.287567,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,14,-0.6423938,-1.717583,-0.985908,0.6423938,1.282417,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,15,-0.6304097,-1.722259,-0.985908,0.6304097,1.277741,4.014092
