PID,isMale,rightHanded,Width_B,Length_B,Depth,Dir,PathType,Width_P,Length_P,Width_A,Length_A,Rep,isValid,MovementTime,StrokeN,MeanX,SDx,MeanX_A,SDx_A,Ae,Ae_A
23,False,True,2,25,4,RL,3,0.1396,1.773552,2,25,0,True,1752.3042,107,0.003622871,0.03211333,0.0518938,0.4599872,1.675805,23.662
23,False,True,2,25,4,LR,3,0.1396,1.773552,2,25,0,True,2390.1323,109,0.002356121,0.03073426,0.03374895,0.4402336,1.762016,24.84237
23,False,True,2,35,4,RL,3,0.1396,2.522384,2,35,0,False,2767.4458,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,35,4,RL,3,0.1396,2.522384,2,35,0,False,820.4549,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,35,4,RL,3,0.1396,2.522384,2,35,0,True,2417.9874,157,0.0007281708,0.02597467,0.01043028,0.3720584,2.456454,34.13892
23,False,True,2,35,4,LR,3,0.1396,2.522384,2,35,0,True,2792.5464,157,0.00217849,0.02865757,0.03120457,0.4104877,2.42494,33.72595
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,True,2602.963,31,-0.0005386021,0.006144249,-0.03085962,0.3520384,0.4063547,22.96975
23,False,True,2,25,1,LR,3,0.0349,0.443388,2,25,0,False,891.4133,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,25,1,LR,3,0.0349,0.443388,2,25,0,True,2624.8802,33,0.004484072,0.004667613,0.256918,0.2674341,0.4425679,24.95514
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,True,2776.0249,31,0.0007497038,0.003820721,0.04295486,0.2189109,0.3947088,22.32821
23,False,True,2,25,1,LR,3,0.0349,0.443388,2,25,0,True,2519.8714,29,0.000457162,0.005862754,0.02619345,0.3359101,0.386437,21.87169
23,False,True,2,35,1,RL,3,0.0349,0.630596,2,35,0,True,3539.6214,41,-0.0002773863,0.007054786,-0.01589307,0.4042078,0.5476638,30.62802
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,False,1923.7638,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,False,1564.1294,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,False,630.2048,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,False,1714.2983,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,False,1379.4215,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,True,1755.9226,28,7.042651E-05,0.004887397,0.004035142,0.2800267,0.3931033,22.23966
23,False,True,2,25,1,LR,3,0.0349,0.443388,2,25,0,False,775.5325,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,25,1,LR,3,0.0349,0.443388,2,25,0,True,1358.4336,24,0.0002298696,0.01045987,0.01317056,0.5993012,0.4111303,23.23239
